timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
34115547181949,2.326,2.511,10.775,0.023468,0.009979,-0.006912,33.42,27.419998,-17.159988,walking
34834882040553,2.384,2.376,10.421,0.023468,0.009979,-0.006912,32.939987,20.339996,-19.199997,walking
34834902060224,2.547,2.127,9.511,0.023468,0.009979,-0.006912,32.759995,12.959991,-21.359985,walking
34834922064485,2.69,1.974,8.477,0.023468,0.009979,-0.006912,32.579987,5.7599945,-23.699997,walking
34834942063577,2.595,1.888,7.672,0.023468,0.009979,-0.006912,32.579987,-1.199997,-25.73999,walking
34834962067878,2.097,1.878,7.433,0.023468,0.009979,-0.006912,32.64,-0.6599884,-25.919998,walking
34834982064539,1.417,1.888,7.835,0.023468,0.009979,-0.006912,32.759995,-0.59999084,-25.73999,walking
34835002061194,0.842,1.792,8.707,0.023468,0.009979,-0.006912,32.579987,0.11999512,-25.559998,walking
34835022065469,0.354,1.572,9.693,0.023468,0.009979,-0.006912,32.339996,1.0799866,-25.979996,walking
34835042062117,-0.143,1.505,10.172,0.023468,0.009979,-0.006912,32.579987,1.5599976,-25.5,walking
34835062058764,-0.527,1.802,9.942,0.023468,0.009979,-0.006912,32.819992,2.9399872,-24.779999,walking
34835082063028,-0.555,2.329,9.233,0.023468,0.009979,-0.006912,33.36,3.6599884,-23.939987,walking
34835102059692,-0.325,2.779,8.352,0.023468,0.009979,-0.006912,33.839996,4.2599945,-23.519989,walking
34835122063938,-0.057,3.009,7.701,0.023468,0.009979,-0.006912,34.199997,5.399994,-23.579987,walking
34835142068215,0.2,3.114,7.519,0.023468,0.009979,-0.006912,33.719986,5.6399994,-24.359985,walking
34835162064873,0.325,3.152,7.615,0.023468,0.009979,-0.006912,33.42,5.819992,-24.839996,walking
34835182070622,0.229,3.334,7.854,0.023468,0.009979,-0.006912,33.23999,5.5799866,-25.14,walking
34835202068690,-0.134,3.784,8.304,0.023468,0.009979,-0.006912,33.539993,5.6399994,-24.59999,walking
34835222005762,-0.814,4.244,9.205,0.023468,0.009979,-0.006912,34.14,5.699997,-23.759995,walking
34835241870184,-1.484,4.416,10.574,0.023468,0.009979,-0.006912,34.73999,6.299988,-23.279999,walking
34835261734198,-1.628,4.244,11.733,0.023468,0.009979,-0.006912,34.92,7.019989,-22.799988,walking
34835281621577,-1.111,3.928,12.154,0.023468,0.009979,-0.006912,34.92,6.719986,-22.559998,walking
34835301569980,-0.498,3.756,12.087,0.023468,0.009979,-0.006912,35.399994,6.419998,-22.439987,walking
34835321729403,-0.316,3.899,11.867,0.023468,0.009979,-0.006912,35.219986,6.0599976,-22.019989,walking
34835341864878,-0.46,4.129,11.58,0.023468,0.009979,-0.006912,35.15999,5.699997,-21.719986,walking
34835361976969,-0.613,4.081,11.484,0.023468,0.009979,-0.006912,34.5,5.5799866,-22.14,walking
34835382089041,-0.613,3.516,11.637,0.023468,0.009979,-0.006912,34.01999,5.6399994,-22.14,walking
